Feature Set,Num Features,Accuracy,F1,AUROC
Full,55,0.7890381552524064,0.8689367377229021,0.8453714769573273
Clinical,34,0.7864067585347275,0.8670789252547887,0.8431900546542478
Minimal,28,0.774271172356485,0.8585991129233406,0.8308297786933696
